0.101595805149 0.416295645236 -0.418190522174 0.0216552103953 0.785893908695	0
-0.748829379072 -0.585514243724 -0.897065593398 -0.118380312699 -0.940247578243	1
0.29828809523 -0.443025434704 0.35250980396 0.181725634833 -0.952036235246	1
-0.481495106185 -0.16979760598 -0.432949836457 0.386275836626 -0.119092564659	1
0.0892980360637 0.560629529023 -0.387272935248 -0.556084232136 -0.224057484889	0
0.951990844946 0.344767351826 0.805668217077 0.691501742586 -0.244011917342	0
0.306821805047 0.115681524777 -0.276870473875 -0.54989099032 -0.186960167248	0
-0.461528843498 -0.416414451549 -0.084627201354 0.721067825894 0.172505808936	1
-0.444044986753 -0.0907558489561 -0.58917931079 -0.597242577914 0.0280701196349	1
-0.0328289352968 -0.275647575224 0.415373243631 0.493492446204 0.382185843712	1
-0.252799751702 0.336269609471 -0.320302672086 0.145587739738 -0.34838568387	0
-0.87694213834 -0.514649155631 0.943205212347 -0.53883159129 0.382955021895	1
0.447878278875 -0.0498227787311 0.193327549204 -0.866061152134 -0.854875724356	1
-0.696278005983 -0.799791310837 -0.741412270782 0.106555463615 -0.624370350152	1
0.363223557615 0.0820393467195 0.414361201616 -0.472226658095 0.853451368507	0
0.452638996856 -0.0395200878292 0.684206371753 0.489504646849 0.320651812799	0
0.267331127575 -0.268118830295 0.105689146301 -0.6072388466 -0.615855407213	1
0.569873406862 0.944196727368 0.701942834083 0.0871886531916 -0.820418260954	0
0.855872695124 0.575236399007 -0.0298115478918 -0.0894412770382 -0.564028463181	0
-0.852752661561 0.784786375174 0.280353233798 -0.713335365057 -0.171746160568	0
-0.581253300955 0.461416248258 0.302245540883 -0.042043405246 -0.450438989009	0
0.912899022635 -0.12895888765 -0.859734989825 -0.884537024354 -0.834257962405	1
0.081521672373 0.674924865339 -0.659932911526 -0.479309854542 0.383955023746	0
-0.31862303108 -0.870653604019 0.728239338821 -0.418255108341 0.482164812799	1
0.389926870282 0.682839238062 0.454304157493 -0.281784950273 0.45337950298	0
-0.372361769534 -0.160834486634 0.754424077889 -0.692519582858 0.760249580499	1
0.943248594156 -0.264594033393 -0.590120462184 -0.518859359331 0.655725602843	1
0.397619996761 -0.0350059164523 -0.425900470638 0.667375768686 0.744359016799	0
-0.56810105796 0.663522180916 0.696607794159 -0.370694002472 -0.441410806306	0
0.0788930005293 -0.808866369987 0.673824277427 0.0694697407026 0.549935630082	1
0.930586702213 0.502054614637 -0.313812271216 0.89705529392 0.401023557933	0
-0.909005388288 -0.888716917897 0.485474547099 -0.390627134103 0.0335687316865	1
0.955904819314 0.00550209534884 0.658002156949 -0.85192440744 -0.0421690955643	1
0.768482862175 -0.108379642574 -0.862900163476 -0.847007435368 0.0775853160063	1
-0.632455363975 -0.127285831667 -0.00443433796309 0.166623830484 0.24102536281	1
0.237473165961 -0.68551068323 -0.448983049133 0.597436541193 -0.693821398547	1
-0.514043640612 -0.0409853903539 -0.998508955916 -0.939377278955 -0.0769036967044	1
0.359003607547 0.590409174353 0.156326717475 0.389529954346 -0.218083968532	0
-0.121156934741 -0.256039375581 0.194006484401 -0.731563660602 -0.544574206556	1
-0.47134894672 -0.179359590186 0.871944352992 -0.448895073958 -0.709420082293	1
0.134133100883 0.223187671093 -0.915938298013 -0.165466210486 -0.991467131666	0
0.412112367168 -0.876918568159 -0.410613002793 0.976225505624 0.942444460454	1
0.471386773056 0.265311548372 -0.0686138571125 0.714132865283 -0.654963495668	0
-0.915860953083 0.733907383626 0.351993174936 -0.108171780178 0.343140495269	0
0.560006444757 -0.773111832272 0.0163148576972 0.742979079888 0.855058551624	1
-0.496139394891 0.808024943218 -0.30896532257 -0.886254851903 0.429773344224	0
0.47064837499 -0.0458167331133 0.00113110887286 -0.164876179183 -0.41903020793	1
0.33757515597 0.577664686686 0.791479062186 -0.499622115221 0.839641227945	0
0.01217052425 0.135804348288 -0.770135523926 0.524231681116 -0.653549985631	0
-0.747125389543 -0.854165812836 0.218054887521 -0.0175937407686 0.349619869479	1
0.965374985291 -0.831838637847 0.262424224867 0.153949790763 0.301284353583	1
